1,2,3,4,5
97552,1,38,XYH,2020/7/13 7:58
97553,1,45,ZJJ,2020/7/13 8:28
97554,1,31,ZH,2020/7/13 8:28
97555,1,7,YZQ,2020/7/13 8:30
97556,1,11,XM,2020/7/13 8:34
97557,1,46,LZG,2020/7/13 9:05
97558,1,12,GSH,2020/7/13 9:18
97559,1,52,QF,2020/7/13 9:26
97560,1,48,QH,2020/7/13 11:37
97561,1,12,GSH,2020/7/13 11:37
97562,1,45,ZJJ,2020/7/13 11:37
97563,1,13,FWB,2020/7/13 11:40
97564,1,30,LY,2020/7/13 11:41
97565,1,29,LX,2020/7/13 11:42
97566,1,34,ZQ,2020/7/13 11:55
97567,1,7,YZQ,2020/7/13 12:04
97568,1,31,ZH,2020/7/13 12:04
97569,1,41,HCL,2020/7/13 12:04
97570,1,32,LS,2020/7/13 12:23
97571,1,52,QF,2020/7/13 12:24
97572,1,46,LZG,2020/7/13 12:26
97573,1,48,QH,2020/7/13 12:34
97574,1,11,XM,2020/7/13 12:34
97575,1,15,SXJ,2020/7/13 12:35
97576,1,15,SXJ,2020/7/13 12:35
97577,1,45,ZJJ,2020/7/13 12:46
97578,1,32,LS,2020/7/13 12:49
97579,1,38,XYH,2020/7/13 13:37
97580,1,32,LS,2020/7/13 13:38
97581,1,34,ZQ,2020/7/13 13:42
97582,1,7,YZQ,2020/7/13 13:42
97583,1,20,HQ,2020/7/13 13:43
97584,1,20,HQ,2020/7/13 13:43
97585,1,40,LYW,2020/7/13 13:55
97586,1,51,WAC,2020/7/13 14:03
97587,1,29,LX,2020/7/13 14:34
97588,1,12,GSH,2020/7/13 15:05
97589,1,48,QH,2020/7/13 17:27
97590,1,45,ZJJ,2020/7/13 17:28
97591,1,32,LS,2020/7/13 17:28
97592,1,11,XM,2020/7/13 17:31
97593,1,38,XYH,2020/7/13 17:33
97594,1,7,YZQ,2020/7/13 17:46
97595,1,51,WAC,2020/7/13 17:46
97596,1,20,HQ,2020/7/13 17:48
97597,1,20,HQ,2020/7/13 17:48
97598,1,52,QF,2020/7/13 17:53
97599,1,31,ZH,2020/7/13 17:54
97600,1,12,GSH,2020/7/13 17:58
97601,1,13,FWB,2020/7/13 18:01
97602,1,30,LY,2020/7/13 18:01
97603,1,34,ZQ,2020/7/13 18:11
97604,1,29,LX,2020/7/13 18:11
97605,1,46,LZG,2020/7/13 18:17
97606,1,5,NL,2020/7/13 18:30
97607,1,32,LS,2020/7/13 18:50
97608,1,40,LYW,2020/7/13 19:01
97609,1,48,QH,2020/7/13 19:04
97610,1,12,GSH,2020/7/13 19:20
97611,1,7,YZQ,2020/7/13 19:29
97612,1,40,LYW,2020/7/13 21:04
97613,1,51,WAC,2020/7/13 21:30
97614,1,52,QF,2020/7/13 21:33
97615,1,11,XM,2020/7/13 21:44
97616,1,12,GSH,2020/7/13 21:52
97617,1,12,GSH,2020/7/13 22:09
97618,1,30,LY,2020/7/13 22:12
97619,1,13,FWB,2020/7/13 22:12
97620,1,7,YZQ,2020/7/13 22:13
97621,1,48,QH,2020/7/13 22:21
97622,1,34,ZQ,2020/7/13 22:28
97623,1,45,ZJJ,2020/7/13 22:32
97624,1,38,XYH,2020/7/13 22:42
97625,1,31,ZH,2020/7/13 22:48
97626,1,20,HQ,2020/7/13 22:56
97627,1,46,LZG,2020/7/13 23:15
97628,1,10,XX,2020/7/13 23:21
97629,1,5,NL,2020/7/13 23:51
97630,1,32,LS,2020/7/13 23:56
97631,1,46,LZG,2020/7/14 1:54
97632,1,40,LYW,2020/7/14 7:56
97633,1,11,XM,2020/7/14 7:57
97634,1,38,XYH,2020/7/14 7:57
97635,1,51,WAC,2020/7/14 7:57
97636,1,34,ZQ,2020/7/14 7:59
97637,1,48,QH,2020/7/14 8:06
97638,1,7,YZQ,2020/7/14 8:08
97639,1,31,ZH,2020/7/14 8:11
97640,1,29,LX,2020/7/14 8:15
97641,1,45,ZJJ,2020/7/14 8:26
97642,1,20,HQ,2020/7/14 8:26
97643,1,46,LZG,2020/7/14 8:26
97644,1,13,FWB,2020/7/14 8:29
97645,1,30,LY,2020/7/14 8:29
97646,1,32,LS,2020/7/14 8:41
97647,1,52,QF,2020/7/14 8:44
97648,1,10,XX,2020/7/14 8:47
97649,1,12,GSH,2020/7/14 8:56
97650,1,32,LS,2020/7/14 11:11
97651,1,29,LX,2020/7/14 11:11
97652,1,12,GSH,2020/7/14 11:41
97653,1,7,YZQ,2020/7/14 11:41
97654,1,13,FWB,2020/7/14 11:46
97655,1,52,QF,2020/7/14 11:49
97656,1,11,XM,2020/7/14 12:04
97657,1,31,ZH,2020/7/14 12:04
97658,1,38,XYH,2020/7/14 12:05
97659,1,48,QH,2020/7/14 12:20
97660,1,34,ZQ,2020/7/14 12:34
97661,1,51,WAC,2020/7/14 12:35
97662,1,30,LY,2020/7/14 12:47
97663,1,10,XX,2020/7/14 13:04
97664,1,10,XX,2020/7/14 13:04
97665,1,46,LZG,2020/7/14 13:05
97666,1,45,ZJJ,2020/7/14 13:23
97667,1,32,LS,2020/7/14 13:43
97668,1,7,YZQ,2020/7/14 13:59
97669,1,40,LYW,2020/7/14 13:59
97670,1,12,GSH,2020/7/14 16:44
97671,1,45,ZJJ,2020/7/14 17:06
97672,1,11,XM,2020/7/14 17:09
97673,1,20,HQ,2020/7/14 17:40
97674,1,32,LS,2020/7/14 17:43
97675,1,51,WAC,2020/7/14 17:50
97676,1,13,FWB,2020/7/14 17:52
97677,1,7,YZQ,2020/7/14 17:54
97678,1,30,LY,2020/7/14 17:54
97679,1,31,ZH,2020/7/14 17:55
97680,1,48,QH,2020/7/14 17:57
97681,1,38,XYH,2020/7/14 17:58
